Model,N_Features,RMSE_Mean,RMSE_Std,RMSE_Min,RMSE_Max,MAE_Mean,Folds_Better_Than_Baseline,Improve_%
K25_T10_T20,2,8605.249446622342,5257.4418440619265,2291.359240588292,20029.796825565936,7548.363060713632,9,5.717707515759097
K25_T1_T10_T24,3,8741.644596156144,5447.895237169533,2837.9396572231344,21225.385279616705,7655.770348480857,7,4.223311860927117
K25_T10_T17_T24,3,8747.775264109168,5429.912932967942,2092.238858112293,20576.409727884824,7713.696525558873,8,4.156141997617961
K25_Granger_Top5,5,8757.603187401503,5561.107679988887,2671.931005757964,20788.78074288186,7390.113229851461,6,4.048463638715276
K25_T10_T24,2,8763.769707417514,5477.760993261241,2103.97404446085,20705.38156586863,7712.248751077027,8,3.9809009669570834
K25_Granger_Top3,3,8768.52986585446,5523.328240330759,2589.9567350937737,21070.32234034882,7744.6698247186,7,3.9287469122945984
K25_LASSO_Top5,5,8779.653729700894,5462.653579269099,2642.992013354517,20862.441915882056,7760.849871879998,7,3.8068697498451027
K25_T9,1,8890.521975568043,5356.159093402522,2161.4870756955684,20457.13202342978,7697.7104317647845,8,2.5921562835011263
K25_T1_T20,2,8925.335357703374,5407.86007737862,2581.4095139247497,20952.585141321535,7894.054045034349,7,2.2107280056564576
K25_T1_T10_T17,3,8948.407903403117,5455.773800544555,2520.8884900145713,21208.041684803604,7919.158113150462,7,1.9579366699127878
K25_T1_T10,2,8952.11124822539,5504.292851547819,2515.238897999023,21349.97729484795,7920.023194533389,7,1.9173614556939067
K25_T1_T24,2,8960.491908559863,5557.080114988119,2487.6516159498938,21499.64237385865,7922.048270275741,7,1.8255398445056352
K25_T10_T17,2,8969.650941140759,5366.3538553443595,2302.466908469197,20552.26581731388,7940.0105529001985,8,1.7251900993853886
K25_T10,1,8971.279413166774,5400.634068102788,2300.692295508856,20616.298471824182,7913.419198608887,8,1.7073479581654771
K25_T1_T17_T24,3,8979.505846917258,5531.503650079634,2557.515005296828,21446.709849254272,7944.527240879479,6,1.617216110416451
K25_T10_T12_T24,3,8996.315919443765,5413.139492758168,2021.4704615898306,20738.931111193022,7932.828430418903,6,1.433038744675183
K25_T10_T23,2,9006.18578054806,5395.012907323527,2887.346716597457,20605.917687537047,7940.853625117614,5,1.3249008996090892
K25_T24,1,9019.551443760003,5419.2758689073535,2335.6842236461925,20577.978178038407,7972.527554580753,8,1.178461754990341
K25_LASSO_Top3,3,9024.749873426626,5532.891222089499,2524.931944550435,20953.737138391374,7999.874114579808,6,1.1215058387990087
K25_T20_T24,2,9042.687618741522,5424.589954832828,2309.907094824827,20616.817867334463,7996.981181881539,6,0.9249732733251963
K25_T17_T24,2,9044.738281934144,5385.454953956565,2424.4166982788192,20542.211329728125,8033.94084959802,8,0.902505449688854
K25_T8,1,9060.366777476263,5560.581481557192,2530.334790971753,20972.753434383358,7985.070712803635,5,0.7312738779685075
K25_T23_T24,2,9076.702507232314,5401.530164447567,2869.176156091342,20559.525258168083,8030.297726923903,5,0.5522935868849049
K25_T20,1,9081.494989777435,5377.622593416206,2444.6452831474307,20608.119359928427,8034.657283422707,5,0.4997853773498441
K25_T17_T20,2,9084.696768704865,5319.676294287754,2525.116397950245,20447.47866081913,8070.711110826892,5,0.4647055043980647
K25_T11_T20,2,9084.778064704573,5267.154726843964,2458.774900870888,20477.90096442856,8073.627411136584,7,0.4638147953872732
K25_T10_T13,2,9086.608505890968,5400.834040208211,2253.4104313316816,20636.98540240379,8039.018882359301,6,0.44375980542080745
K25_T1,1,9090.937730972335,5539.676544540302,2514.92217520951,21464.8026829011,8068.278879637885,7,0.39632721582728647
K25_T10_T11,2,9095.68300536688,5328.775508345414,2310.7113590648996,20684.266401130266,8041.899554373112,6,0.3443362362328387
K25_T15,1,9102.024891324501,5399.57906053861,2265.0815521547333,20320.35090510854,8059.927852558993,6,0.27485219042253983
K25_T1_T17,2,9109.29577737102,5511.598498608846,2601.614265444733,21409.126135298633,8090.918087465174,6,0.19518967638274395
K25_T7,1,9114.706355849792,5384.219379850013,2368.5428894649667,20537.346101036557,8082.300995802459,5,0.1359093794188116
K25_T4,1,9127.008290539343,5277.368486792962,2541.2633092696756,20301.33501178368,8046.917536270262,6,0.0011248375276395211
Baseline,0,9127.110955708562,5349.406635355941,2523.4259001756986,20486.579408686066,8062.855233842565,0,0.0
K25_T11_T24,2,9138.774748242693,5344.731739581573,2346.0537732706016,20623.563056860832,8098.310134862707,5,-0.12779282064973616
K25_T25,1,9140.593564471917,5286.292707339658,2715.941550087271,20148.134536678663,8143.754317185373,6,-0.14772044329013898
K25_T13_T24,2,9145.054683987513,5387.220026473511,2702.5683250785287,20698.132627187795,8116.57279042926,6,-0.19659811703864943
K25_T21,1,9145.325051517722,5198.231286100002,2514.1525658693417,19856.38694669706,8120.928340478039,5,-0.19956036359751275
K25_T3,1,9147.33780067389,5340.038965198886,2617.4096306598044,20505.391689335545,8104.424166330771,4,-0.22161278704162757
K25_T20_T23,2,9150.859775002858,5389.51458987741,2994.201137061029,20667.01234090643,8107.570008976065,4,-0.2602008391214172
K25_T1_T23,2,9151.308996305077,5515.66951190144,3060.5147065391125,21454.63836952021,8128.321350580309,6,-0.2651226736909598
K25_T17,1,9155.888868128626,5317.793047902946,2619.244239885913,20462.61692479928,8128.901609539515,3,-0.3153014416031073
K25_T14,1,9164.062455507836,5316.252724738382,2607.3084620290983,20503.27908073471,8099.943478181466,4,-0.40485428498228543
K25_T5,1,9173.184282758895,5047.529447929024,3871.6845992483086,20400.38911166772,8167.54928480143,7,-0.5047963947618792
K25_T23,1,9173.295761173522,5347.7806741109125,3024.153670014721,20459.842318086747,8115.079336255798,5,-0.5060177934626028
K25_T1_T13,2,9175.09988904077,5556.049195736589,2589.1378771106733,21623.70023149017,8138.370376716615,6,-0.5257844849820008
K25_T16_T20,2,9182.684485056201,5781.976478938245,2724.2263138514713,21348.67580475005,7890.412578011293,5,-0.6088841213536536
K25_T2,1,9185.864665979932,5418.902605976183,2432.2380548908955,20527.614544491455,8129.629850345914,4,-0.6437273585966746
K25_T1_T11,2,9187.02878909774,5501.419815750314,2512.6058120029065,21551.91377296151,8140.780084279499,6,-0.6564819216063336
K25_T18,1,9188.036369643338,5363.105616835389,2635.6291762921405,20573.950847149496,8079.687213992457,1,-0.6675213463540727
K25_T10_T16,2,9190.904702869584,5892.235248964374,2648.142129781409,21827.719691406404,7923.038660869235,5,-0.6989478649990799
K25_T19,1,9201.978798794957,5299.803040918713,3003.2373834387845,20487.51198480212,8145.174404512717,2,-0.8202797517167089
K25_T22,1,9213.647104232108,5349.071027774522,2716.242034412427,20490.07165725951,8138.3432620031135,1,-0.9481220173994059
K25_T13_T20,2,9215.18532335485,5360.1721404203345,2591.4004323678873,20657.19659538371,8189.115138993829,3,-0.964975314463574
K25_T6,1,9216.906472277169,5379.734205368727,2510.5340941817312,20489.14313045514,8121.503361554974,4,-0.9838328580025032
K25_T1_T12_T24,3,9223.567518151352,5457.13037732231,2269.6258369443963,21472.705125788667,8184.054986255345,5,-1.05681373778481
K25_T10_T12_T17,3,9227.722594728042,5305.6717828762985,2265.093385210299,20536.445086725675,8137.1981895677045,3,-1.102338292015093
K25_T17_T23,2,9229.996215783282,5322.13848701656,3288.4933816694843,20463.81826143907,8211.4038474387,5,-1.127248924374803
K25_T11,1,9244.662015367536,5280.675931827944,2533.770784329358,20552.820603016044,8182.759654488426,2,-1.2879328434749813
K25_T1_T10_T12,3,9245.251344307404,5400.3647200578,2246.121557251142,21295.766443822133,8210.160096325284,6,-1.2943897490908776
K25_T10_T12,2,9256.063854752483,5319.681636964158,2293.6862607868848,20619.62478686866,8179.327273097459,3,-1.4128556086333919
K25_T13,1,9260.21826187333,5343.271166289793,2669.6415987694545,20584.711667031712,8217.55644150202,1,-1.4583728280580992
K25_T11_T17,2,9261.01649054147,5253.889159251657,2618.8311576535216,20526.694142788318,8226.914362853193,2,-1.4671185162831415
K25_T16_T24,2,9269.987618024552,5902.881795026786,2628.2079910326383,21816.292131190974,8032.962750157123,7,-1.5654095037228355
K25_T12_T17_T24,3,9274.009405672161,5335.592779774829,2440.0066977375154,20614.49774544552,8201.318889695172,3,-1.6094736951972868
K25_T12_T24,2,9275.592866004587,5350.602827302029,2365.4707420565346,20660.70871906345,8211.596906703802,4,-1.6268226716708905
K25_T13_T17,2,9284.071586549802,5317.25729530514,2740.858921758457,20569.157617944813,8274.438668217705,0,-1.719718666760254
K25_T11_T23,2,9284.48289324874,5276.603263824218,3024.8266349891173,20523.831485200943,8218.036474975326,3,-1.7242250949272115
K25_T13_T23,2,9306.334200440931,5299.969110173732,3582.3744402864377,20639.648097681333,8269.060613198619,3,-1.9636360903476702
K25_T1_T16,2,9329.757730814066,5947.912973737005,3174.0137900562363,22406.433836791864,8075.76588432821,5,-2.220272943858085
K25_T11_T13,2,9360.17374046153,5272.756431658465,2692.727545975179,20633.978307162026,8309.6914984937,1,-2.553521983943881
K25_T16,1,9378.445833221787,5879.971975799967,2744.154157600153,21895.911805930205,8123.877544867826,4,-2.7537177835668545
K25_T1_T12_T17,3,9380.461705887394,5410.7294442342945,2440.561249746042,21342.68415437002,8323.429602404145,5,-2.7758044293344897
K25_T12_T20,2,9381.880821400544,5325.821630841482,2485.2492627847555,20691.898803829008,8314.415497554683,3,-2.791352783244471
K25_T1_T12,2,9395.586301340816,5420.868581343619,2362.7089406040045,21403.84909321083,8353.864228947914,5,-2.94151508549741
K25_T16_T17,2,9410.608544108438,5860.208924391886,2989.5299278447906,21885.74493990087,8156.310517636075,4,-3.1061043278164817
K25_T12_T17,2,9417.919645607184,5254.897318920137,2646.992609236665,20477.748439403447,8317.04333428448,2,-3.186207457210055
K25_T12,1,9421.877959527616,5266.233970918831,2577.273326193713,20515.752771895084,8333.043743305037,1,-3.22957620707669
K25_T16_T23,2,9431.238933341916,5886.7999649884505,3319.543541788742,21959.68822239754,8187.1327421320775,5,-3.332138494965231
K25_T12_T23,2,9464.62223078549,5271.466619261614,2968.446383043157,20523.857779323447,8383.705314686506,1,-3.697898236526103
K25_T13_T16,2,9476.910473907938,5849.821989256217,2809.3721009777287,21893.075505242286,8239.317015341847,4,-3.83253276854921
K25_T11_T16,2,9518.224613572445,5788.161662359031,2761.799082772189,21904.596872688824,8256.409681634726,3,-4.285185747843472
K25_T12_T13,2,9529.051620078051,5201.596362812056,3184.326249670769,20542.575825615597,8447.830657982875,1,-4.403810431581255
K25_T11_T12,2,9550.13003001933,5196.658314187264,2591.5573591890898,20591.081963998608,8439.173132482862,1,-4.6347532791435055
K25_T12_T16,2,9587.734242764936,5793.703570060815,2697.7319723410887,21837.686288893026,8367.934775284652,2,-5.046758928336213
K25_AllTopics,25,10800.584918733406,4631.156455185941,5041.165703285246,19712.47443284367,9069.435281074835,3,-18.335199069516822
