Model,N_Features,RMSE_Mean,RMSE_Std,RMSE_Min,RMSE_Max,MAE_Mean,Folds_Better_Than_Baseline,Improve_%
K6_T2_T3_T6,3,8077.186295387987,4960.771670278978,1643.2877052662232,18340.314975027657,6967.832549677245,9,11.50336251433317
K6_T1_T2_T3_T6,4,8132.461106120545,5074.355557498692,1670.2749392683622,18413.49366125205,7008.385724719849,9,10.89775126449966
K6_T2_T3_T4_T6,4,8135.620231605612,5052.684298484921,1644.9379022917187,18379.642074151503,6977.958731996892,9,10.8631387184224
K6_T2_T3_T5_T6,4,8149.843436024113,4936.948021595576,1862.1309720683955,18330.52002427384,7010.329738331182,9,10.707304035492372
K6_T3_T4_T5_T6,4,8204.410655380818,5053.591295608446,1883.7713702561796,18352.33369690311,7047.780783258434,9,10.109445418220101
K6_T3_T5_T6,3,8206.018723142377,4858.075794787579,1856.5662866656025,18437.877232126575,7160.931509979046,9,10.09182683366073
K6_T1_T3_T4_T5_T6,5,8208.700075442,5056.972639479317,1877.573801928961,18407.887183724462,7051.134789698292,9,10.062448947135241
K6_T1_T2_T3_T4_T5,5,8208.701365874029,5056.97367303817,1877.5787704076204,18407.88722583241,7051.134656819459,9,10.062434808685138
K6_T1_T2_T3_T5_T6,5,8208.70295359904,5056.972355367481,1877.5799516728068,18407.888463814077,7051.13429271636,9,10.062417412983264
K6_T1_T2_T4_T5_T6,5,8208.705189884557,5056.975546568695,1877.575008273639,18407.88761817727,7051.139296147079,9,10.062392911412864
K6_T1_T2_T3_T4_T6,5,8208.705671503874,5056.9776744118135,1877.5740016728662,18407.887838112452,7051.14046838405,9,10.062387634613668
K6_T2_T3_T4_T5_T6,5,8208.71022284374,5056.979049565454,1877.5754567042277,18407.88710584804,7051.142661385051,9,10.06233776845243
K6_T1_T2_T3_T4_T5_T6,6,8217.7382872435,5057.207129456472,1926.3891942825862,18448.26993641314,7058.29558070937,9,9.963422959116047
K6_T3_T6,2,8231.334487646056,4891.491748135155,1719.9574857148327,18441.234015677306,7188.606505114713,10,9.81445796385593
K6_T3_T4_T6,3,8250.484628333887,5036.808167125,1652.2181291793456,18377.357047152567,7155.500804359894,9,9.604641946709199
K6_T1_T3_T5_T6,4,8265.09602112991,4900.758785603115,1901.8682159092182,18535.116717079407,7222.751213804839,9,9.444554128483603
K6_T1_T4_T5_T6,4,8272.9368920091,5153.352555784613,1850.7760788375065,18727.060362369684,7026.87775462431,8,9.3586466500138
K6_T1_T3_T4_T6,4,8299.776591389955,5025.534895073289,1850.156056630983,18430.7961792853,7208.728133668226,9,9.064580986617129
K6_T1_T3_T6,3,8303.541475977629,4920.392659935864,1828.580932856793,18531.966701828525,7260.624112048832,9,9.023331519990244
K6_T2_T3_T4_T5,4,8323.914941960607,5267.024562721744,2323.1989001804286,19817.088321026706,7111.586879916284,8,8.800112298904338
K6_T2_T4_T5_T6,4,8334.924685427162,5105.912591939928,1896.3522065554287,18475.692215454874,7222.587288206606,8,8.679485481503058
K6_T4_T5_T6,3,8379.746989393007,5181.569297373183,1849.4018815264737,18689.1318494528,7188.955236454739,7,8.188395757894405
K6_T2_T3_T5,3,8395.910626712253,5130.529041540777,2534.3634766722107,19837.227437438032,7228.5995186786895,7,8.011300975134727
K6_T1_T2_T3_T5,4,8446.058273935143,5226.627518741984,2268.2378285965046,19861.843494231292,7296.065168810633,7,7.461864823144872
K6_T2_T3,2,8456.361549528592,5194.412781344685,2515.997162443939,20175.966131841407,7318.696963993667,8,7.348978328793613
K6_T2_T3_T4,3,8469.952232424199,5278.310815396053,2579.1328007331704,20305.531330090114,7309.159550914583,8,7.200073785378301
K6_T1_T4_T6,3,8495.37054835322,5192.917940757182,1635.8803275545995,18843.966876556246,7314.554382332605,7,6.92158132426581
K6_T1_T2_T4_T6,4,8500.42091632325,5128.334041043558,1861.857950200244,18710.938044776238,7343.259088782533,8,6.866247626729552
K6_T1_T2_T5_T6,4,8509.116947160132,5081.731648057633,2096.426198197583,19294.482016212052,7514.051544436123,8,6.770970699790883
K6_T1_T2_T3,3,8514.620417614766,5305.896847082395,2255.079363021813,20283.686984181113,7388.789976609174,7,6.710672644016816
K6_T2_T5_T6,3,8518.688733437328,5050.183349774039,2044.2168806861744,19113.507060090877,7514.24725488679,8,6.666098672665919
K6_T1_T5_T6,3,8520.959339190558,5133.4517487516705,1884.9748674615666,19368.248699445292,7467.12772329673,8,6.641221077069141
K6_T5_T6,2,8522.799650031771,5090.099950505852,1845.494106478139,19131.155906874294,7473.516274484474,8,6.621057951517763
K6_T1_T2_T3_T4,4,8565.857836992249,5272.413114553033,2413.450341765931,20242.194743865046,7414.768166558695,6,6.149296545642153
K6_T4_T6,2,8602.26083407984,5185.621946369432,1716.02090586122,18718.35556813409,7433.206872307166,7,5.750451859034913
K6_T2_T4_T6,3,8616.275398019807,5138.1771177810815,1942.4686356424932,18637.546249912615,7471.527804397081,7,5.596903118278107
K6_T6,1,8712.006557570114,5098.7957392484195,2006.2651266589255,19101.181118931607,7603.65395051296,8,4.548037162611907
K6_T1_T6,2,8721.310265055397,5146.531140774583,2050.7055017560638,19368.97244627765,7617.663967641029,7,4.4461023057833655
K6_T3_T4_T5,3,8726.276071865832,5490.517240993795,2459.859224788007,20720.09804473151,7698.614170622747,7,4.391695091556079
K6_T2_T6,2,8728.754329723237,5075.411877836227,2247.797002849969,19102.8730847566,7651.585772093214,8,4.364542382780747
K6_T1_T2_T6,3,8735.021172648681,5120.063142671467,2294.5686960197695,19353.176448493778,7659.524848351833,7,4.29588053615857
K6_T1_T3_T4_T5,4,8739.183250451126,5495.519278869821,2506.772839154349,20834.29557623755,7718.695503871076,6,4.2502792739120405
K6_T3_T5,2,8787.165703739893,5274.623217222411,2514.863647569152,20575.15498677913,7725.625678352047,8,3.724565786680287
K6_T1_T4_T5,3,8788.535307548382,5513.96513897282,2431.2968398278767,20792.674855347173,7721.481485827242,7,3.709559901300616
