Model,N_Features,RMSE_Mean,RMSE_Std,MAE_Mean,MAE_Std,Improve_%
K6_T2_T3_T5,3,8549.504630191117,5000.074682004766,7155.347480557821,4305.836921768517,0.4914178734210792
K6_T2_T3,2,8549.505526188705,4972.623541229379,7176.0923915023495,4271.394069334453,0.4914074448110737
K6_T1_T2_T3_T5,4,8566.320931790016,5120.389335943467,7220.248048800726,4422.215926413087,0.29569117332547473
K6_T3,1,8573.621233011072,4865.081515463376,7289.927361828649,4148.544240111853,0.21072220084970453
K6_T2_T4_T5,3,8575.39477081493,5115.043368222865,7182.939994980635,4440.673458875625,0.19007980812129277
K6_T4_T5,2,8580.998622554467,5160.76425855025,7221.367907295529,4484.584613146286,0.12485598929561048
K6_T1_T2_T3,3,8581.683087518217,5123.255817104354,7272.5077004375535,4429.379547404001,0.1168894297106812
K6_T2_T5,2,8582.263027061448,4961.376823875561,7310.82823079419,4273.6242828721,0.11013945247079521
K6_T3_T5,2,8583.710538080511,4914.497510706476,7322.223319365779,4219.616826945234,0.09329171972486068
K6_T2_T3_T4_T5,4,8588.901110080367,5178.237448308766,7118.5636936606,4489.68636910645,0.0328781071855307
Baseline,0,8591.725906933136,4928.289510518942,7318.438948319899,4221.415432679606,0.0
K6_T5,1,8591.749681117708,4977.818902782946,7346.503138634161,4290.6152560811615,-0.00027671023063004176
K6_T2,1,8601.697769490094,4933.411814452657,7296.958956039304,4244.177312863743,-0.11606355539009536
K6_T3_T4_T5,3,8602.79373662257,5133.995683629205,7235.435841207533,4462.285655046791,-0.12881963192638118
K6_T1_T2_T4_T5,4,8610.648879637363,5063.784692447024,7249.819927957277,4378.285780420704,-0.2202464663002985
K6_T4,1,8614.48971559081,5046.706665357047,7190.260236166502,4358.74156098216,-0.26495035926721244
K6_T2_T3_T4,3,8614.796160311716,5058.797134489637,7129.328326302476,4369.103898415429,-0.26851710155190145
K6_T3_T4,2,8617.463020556563,4991.2496541033615,7190.8854437045275,4297.851410948447,-0.2995569679737831
K6_T6,1,8618.039588554771,4845.422905123407,7445.561833426958,4186.137512915625,-0.3062677034471231
K6_T1_T4_T5,3,8619.42164657581,5121.745288123945,7292.775153998457,4425.701869291714,-0.3223536218762041
K6_T1_T2_T5,3,8630.979245749444,4986.368767822677,7380.282128160116,4308.415625064703,-0.4568737322571317
K6_T5_T6,2,8631.71463601037,4898.872891773695,7467.805040332636,4257.592473882814,-0.4654330167232848
K6_T1_T3_T5,3,8632.606365147658,4948.49692985149,7412.313879902281,4250.523452576237,-0.475811945787673
K6_T2_T3_T6,3,8632.662087346162,4910.384983282173,7331.190959672653,4217.410382644313,-0.47646050230713416
K6_T1_T3,2,8632.703630591468,4915.392804585271,7385.289319594091,4198.599090158404,-0.47694402850148043
K6_T3_T6,2,8633.007770857444,4800.125617694487,7429.658288944801,4109.372078987438,-0.480483948993253
K6_T2_T4,2,8634.770797947367,5037.397315281562,7177.0944934267445,4361.007631329125,-0.5010040064185013
K6_T1_T5,2,8646.710240805858,4996.974602066134,7431.557134941159,4312.924330682028,-0.6399684355427641
